MET1315_Count	MET1323_Count	MET1325_Count	MET1950_Count	MET1951_Count	MET1952_Count	MET1954_Count	MET1955_Count	MET1956_Count	MET1958_Count	MET1959_Count	MET1960_Count	MET1966_Count	MET1967_Count	MET1968_Count	MET1970_Count	MET1971_Count	MET1972_Count	MET1974_Count	MET1975_Count	MET1976_Count	MET1982_Count	MET1983_Count	MET1984_Count	MET1986_Count	MET1987_Count	MET1988_Count	ARG_family	TotMarkerLength
1	0	0	0	0	0	0	0	0	0	2.68797749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|A1A317|ARO_3004480|Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin__Bifidobacterium_adolescentis_ATCC_15703_	8
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA03550_1|ARO_3002523|AAC(2_)-Ia__Providencia_stuartii_	120
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA16194_1|ARO_3002540|AAC(3)-VIa__Enterobacter_cloacae_	206
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA19882_1|ARO_3003562|blaF__Mycobacterium_fortuitum_	9
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA20116_1|ARO_3000180|tetA(P)__Clostridium_perfringens_	143
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA20117_1|ARO_3000195|tetB(P)__Clostridium_perfringens_	105
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA21532_1|ARO_3003559|cepA_beta-lactamase__Bacteroides_fragilis_	102
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA21889_1|ARO_3002554|AAC(6_)-Ig__Acinetobacter_haemolyticus_	49
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA22081_1|ARO_3004451|Agrobacterium_fabrum_chloramphenicol_acetyltransferase__Agrobacterium_tumefaciens_str__C58_	28
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA22277_1|ARO_3003007|bmr__Bacillus_subtilis_	41
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA22289_1|ARO_3002672|Bacillus_pumilus_cat86__Bacillus_pumilus_	77
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA22562_1|ARO_3002878|BcII__Bacillus_cereus_	79
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA22597_1|ARO_3000495|ErmD__Bacillus_anthracis_	120
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gb|AAA22851_1|ARO_3000179|tet(L)__Geobacillus_stearothermophilus_	14
